,sample id ,mouse,cage,genotype,exposure ,diet,vendor room 
d1930_aebuf5_S127,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_aebuf6_S128,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_aebuf7_S129,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_bead1_S123,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_bead2_S124,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_bead3_S125,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_bead4_S126,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_bead5_S157,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_bead6_S158,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_bead7_S159,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_h2o1_S222,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_h2o2_S223,ctrl,n/a,n/a,n/a,n/a,n/a,n/a
d1930_m74c5_f0_t5_ran_S27,mouse,74,c5,t5,ran,5LOD,4
d1930_m74c5_fe_t5_ran_S178,mouse,74,c5,t5,ran,5LOD,4
d1930_m75c6_f0_t5_ran_S67,mouse,75,c6,t5,ran,5LOD,4
d1930_m75c6_fe_t5_ran_S119,mouse,75,c6,t5,ran,5LOD,4
d1930_m76c7_f0_t5_ran_S92,mouse,76,c7,t5,ran,5LOD,4
d1930_m76c7_fe_t5_ran_S155,mouse,76,c7,t5,ran,5LOD,4
d1930_m77c8_f0_t5_ran_S35,mouse,77,c8,t5,ran,5LOD,4
d1930_m77c8_fe_t5_ran_S122,mouse,77,c8,t5,ran,5LOD,4
d1930_m7c10_f0_wt_non_S42,mouse,7,c10,wt,non,5LOD,1
d1930_m7c10_fe_wt_non_S94,mouse,7,c10,wt,non,5LOD,1
d1930_m8c10_f0_wt_non_S43,mouse,8,c10,wt,non,5LOD,1
d1930_m8c10_fe_wt_non_S36,mouse,8,c10,wt,non,5LOD,1
d1930_m9c10_f0_wt_non_S44,mouse,9,c10,wt,non,5LOD,1
d1930_m9c10_fe_wt_non_S37,mouse,9,c10,wt,non,5LOD,1
